Id,Entrega,Respostas,,,,,Certas,Erradas,Nota
a42156,,,,,
a45741,20240304_192308_010801,1,1,1,1,1,5,0,20.0
a48045,20240307_120539_748619,0,1,1,1,1,4,1,12.0
a48155,20240306_131702_856551,1,1,1,1,1,5,0,20.0
a48570,,,,,
a48575,20240307_120312_543260,1,1,1,1,1,5,0,20.0
a48581,,,,,
a48601,20240307_121519_167925,1,1,1,1,1,5,0,20.0
a48606,20240306_132028_165287,1,1,1,1,1,5,0,20.0
a48630,20240306_132638_476717,1,1,1,1,1,5,0,20.0
a48636,20240306_134037_128650,1,1,1,1,1,5,0,20.0
a48918,,,,,
a49152,,,,,
a49719,20240308_115925_341672,1,1,1,1,1,5,0,20.0
a49721,,,,,
a49724,,,,,
a49730,20240306_135100_628325,1,1,1,1,1,5,0,20.0
a49734,20240306_132745_577143,1,1,1,1,1,5,0,20.0
a49763,20240306_132628_037848,1,1,1,1,1,5,0,20.0
a49773,20240306_132015_322295,1,1,1,1,1,5,0,20.0
a49774,20240306_132951_128931,1,1,1,1,1,5,0,20.0
a50029,20240307_120017_068809,1,1,1,1,1,5,0,20.0
a50732,20240307_120128_188356,1,1,1,1,1,5,0,20.0
a50741,20240306_131726_025590,1,1,1,1,1,5,0,20.0
a50785,20240307_120014_545167,1,1,1,1,1,5,0,20.0
a50791,20240306_132330_973443,1,1,1,1,,4,0,16.0
a50797,20240307_120744_870064,1,1,1,1,1,5,0,20.0
a50804,20240306_135442_263856,1,1,1,1,1,5,0,20.0
a50825,20240306_134604_899112,1,1,1,1,1,5,0,20.0
a50829,,,,,
a50860,20240306_132232_551322,1,1,1,1,1,5,0,20.0
a50950,,,,,
a50980,20240306_134116_187594,1,1,1,1,1,5,0,20.0
a50988,20240306_134124_575891,1,1,1,1,1,5,0,20.0
a51035,,,,,
a51246,20240307_123800_081981,1,1,1,1,1,5,0,20.0
a51247,20240306_134805_541881,1,1,1,1,1,5,0,20.0
a51300,20240304_192210_121242,1,1,1,1,1,5,0,20.0
a51319,20240306_134702_375956,1,1,1,1,1,5,0,20.0
a51322,20240304_192955_782365,1,1,1,1,1,5,0,20.0
a51324,20240304_192547_112302,1,1,1,1,1,5,0,20.0
a51344,20240306_133249_137568,1,1,1,1,1,5,0,20.0
a51388,20240308_120933_812411,1,1,1,1,1,5,0,20.0
a51392,20240308_114909_932124,1,1,1,1,1,5,0,20.0
a51394,20240308_114809_075142,1,1,1,1,1,5,0,20.0
a51401,20240308_120122_572146,1,1,1,1,1,5,0,20.0
a51411,20240307_120317_922938,1,1,1,1,1,5,0,20.0
a51413,20240308_120103_932308,1,0,0,1,0,2,3,0.0
a51421,20240306_132204_281551,1,1,1,1,1,5,0,20.0
a51435,20240308_120321_992306,1,1,1,1,1,5,0,20.0
a51436,20240306_134910_894456,1,1,1,1,1,5,0,20.0
a51446,20240308_120029_456758,1,1,1,1,1,5,0,20.0
a51452,20240306_133905_493933,1,1,1,1,1,5,0,20.0
a51472,20240308_120036_307966,1,1,1,1,1,5,0,20.0
a51504,20240306_133155_638437,1,1,1,1,1,5,0,20.0
a51522,20240308_122539_639407,1,1,1,1,1,5,0,20.0
a51533,20240308_120204_338257,1,1,1,1,1,5,0,20.0
a51540,20240308_115825_689347,1,1,1,1,1,5,0,20.0
a51547,20240304_190929_226101,1,1,1,1,1,5,0,20.0
a51560,20240308_120516_976749,1,1,1,1,1,5,0,20.0
a51564,20240308_115229_126072,1,1,1,1,1,5,0,20.0
a51568,20240308_115818_215542,1,1,1,1,1,5,0,20.0
a51570,20240306_133110_791171,1,1,1,1,1,5,0,20.0
a51573,,,,,
a51576,20240308_114656_364715,1,1,1,1,1,5,0,20.0
a51579,20240306_173129_971469,1,1,1,1,1,5,0,20.0
a51581,20240306_132757_472169,1,1,1,1,1,5,0,20.0
a51586,20240306_132830_112317,1,1,1,1,1,5,0,20.0
a51587,20240308_121222_412294,1,1,1,1,1,5,0,20.0
a51589,20240308_120322_479094,1,1,1,1,1,5,0,20.0
a51597,20240307_115634_035370,1,1,1,1,1,5,0,20.0
a51598,20240308_115736_295059,1,1,1,1,1,5,0,20.0
a51606,20240308_115136_160207,1,1,1,1,1,5,0,20.0
a51609,20240308_120459_372544,1,1,1,1,1,5,0,20.0
a51625,20240307_120232_214857,1,1,1,1,1,5,0,20.0
a51628,20240306_132013_571921,1,1,1,1,1,5,0,20.0
a51631,,,,,
a51635,20240306_132119_330309,1,1,1,1,1,5,0,20.0
a51666,20240307_115536_217634,1,1,1,1,1,5,0,20.0
a51687,20240307_115245_258578,1,1,1,1,1,5,0,20.0
a51692,20240306_131758_217368,1,1,1,1,1,5,0,20.0
a51694,20240308_114940_674362,1,1,1,1,1,5,0,20.0
a51696,20240308_120130_635078,1,1,1,1,1,5,0,20.0
a51706,20240308_115420_861322,1,1,1,1,1,5,0,20.0
a51707,20240306_132920_657311,1,1,1,1,1,5,0,20.0
a51710,20240307_120856_926453,0,1,1,1,1,4,1,12.0
a51719,20240308_120343_179952,1,1,1,1,1,5,0,20.0
a51728,20240308_114653_931136,1,1,1,1,1,5,0,20.0
a51736,20240308_120221_844428,1,1,1,1,1,5,0,20.0
a51742,20240308_120435_742596,1,1,1,1,1,5,0,20.0
a51743,20240308_120141_184739,1,1,0,1,1,4,1,12.0
a51783,,,,,
a51788,20240308_115551_530264,1,1,1,1,1,5,0,20.0
a51789,20240308_114916_920333,1,1,1,1,1,5,0,20.0
a51793,20240308_115523_948878,1,1,1,1,1,5,0,20.0
a51794,20240308_115755_706713,1,1,1,1,1,5,0,20.0
a51800,20240307_121045_388656,1,1,1,1,1,5,0,20.0
a51809,20240307_121255_389908,1,1,1,1,1,5,0,20.0
a51811,20240308_115526_097272,1,1,1,0,1,4,1,12.0
a51812,20240308_115404_101329,1,1,1,1,1,5,0,20.0
a51813,20240308_122316_978602,1,1,1,1,1,5,0,20.0
a51827,20240308_120301_716954,1,1,1,1,1,5,0,20.0
a51829,20240307_122113_575571,1,1,1,1,1,5,0,20.0
a51864,,,,,
a51878,20240308_114112_229102,1,1,1,1,1,5,0,20.0
a51879,,,,,
a51888,20240307_122835_785857,0,1,1,1,0,3,2,4.0
a51945,20240306_132644_011441,0,1,1,1,1,4,1,12.0
a51959,20240306_132456_275135,1,1,1,1,1,5,0,20.0
a51987,20240307_120022_937897,1,1,1,1,1,5,0,20.0
a51998,20240306_133846_524874,1,1,1,1,1,5,0,20.0
a51999,20240307_120347_352020,1,1,1,1,1,5,0,20.0
a52046,20240306_132716_128622,1,1,1,1,1,5,0,20.0
a52057,20240308_115835_263694,1,1,1,1,1,5,0,20.0
cleandro,,,,,

N. alunos,Entregas,% entregas,Média
115,99,86.087,19.192
