Id,Entrega,Respostas,,,,,Certas,Erradas,Nota
a42156,,,,,
a45741,20240311_194150_861334,1,1,1,1,1,5,0,20.0
a48045,,,,,
a48155,20240313_134904_406517,1,1,1,1,1,5,0,20.0
a48570,,,,,
a48575,20240314_123846_195878,1,1,1,1,0,4,1,12.0
a48581,,,,,
a48601,20240314_131411_107870,1,1,1,1,1,5,0,20.0
a48606,20240313_132415_740133,1,1,1,1,1,5,0,20.0
a48630,20240313_133716_315135,1,0,1,1,1,4,1,12.0
a48636,,,,,
a48918,,,,,
a49152,,,,,
a49719,20240315_122543_672676,1,1,1,1,1,5,0,20.0
a49721,,,,,
a49724,20240311_195834_099997,0,1,1,1,1,4,1,12.0
a49730,20240313_134832_858725,1,1,1,1,1,5,0,20.0
a49734,20240313_134201_399104,1,1,1,1,1,5,0,20.0
a49763,20240313_135511_434087,1,1,1,1,1,5,0,20.0
a49773,20240313_132241_434717,1,1,1,1,1,5,0,20.0
a49774,20240313_140304_748944,1,1,0,1,0,3,2,4.0
a50029,,,,,
a50732,20240314_121534_132174,1,1,1,1,1,5,0,20.0
a50741,,,,,
a50785,,,,,
a50791,20240313_135737_432266,1,1,1,1,1,5,0,20.0
a50797,20240314_125851_470414,1,1,1,1,1,5,0,20.0
a50804,20240313_140336_613849,0,1,1,1,1,4,1,12.0
a50825,20240313_134950_944437,1,1,1,1,1,5,0,20.0
a50829,20240314_121241_723117,1,0,1,1,0,3,2,4.0
a50860,,,,,
a50950,20240313_133852_676288,1,1,1,1,1,5,0,20.0
a50980,20240313_135957_390938,1,1,1,1,1,5,0,20.0
a50988,20240313_135636_315438,1,1,1,1,1,5,0,20.0
a51035,,,,,
a51246,20240314_125612_508050,1,1,1,1,1,5,0,20.0
a51247,20240313_135006_625882,1,1,0,1,0,3,2,4.0
a51300,,,,,
a51319,20240313_134900_494487,1,1,1,1,1,5,0,20.0
a51322,20240311_195631_039608,1,1,1,1,1,5,0,20.0
a51324,,,,,
a51344,20240313_135958_771901,1,1,1,1,1,5,0,20.0
a51388,,,,,
a51392,20240315_122907_739578,1,1,1,1,1,5,0,20.0
a51394,20240315_122940_470418,1,1,1,1,1,5,0,20.0
a51401,20240315_120140_255509,0,1,1,0,1,3,2,4.0
a51411,20240314_124343_678516,1,1,1,1,1,5,0,20.0
a51413,20240315_121501_061369,0,1,1,1,1,4,1,12.0
a51421,20240313_134542_632840,1,1,1,1,1,5,0,20.0
a51435,20240315_124300_702961,1,1,1,1,1,5,0,20.0
a51436,20240313_135825_301801,1,1,1,1,1,5,0,20.0
a51446,20240315_122008_149711,1,1,1,1,1,5,0,20.0
a51452,20240313_140000_931744,0,1,1,1,1,4,1,12.0
a51472,20240315_122955_831358,1,1,1,1,1,5,0,20.0
a51504,20240313_135727_606940,1,1,1,1,1,5,0,20.0
a51522,20240315_184340_874788,1,1,1,1,1,5,0,20.0
a51533,20240315_122204_013342,1,1,1,1,1,5,0,20.0
a51540,20240315_122623_321246,1,1,1,1,1,5,0,20.0
a51547,20240311_193602_276246,1,1,1,1,1,5,0,20.0
a51560,20240315_122111_302291,1,1,1,0,1,4,1,12.0
a51564,20240315_122210_948149,1,1,1,1,1,5,0,20.0
a51568,20240315_122608_671382,1,1,1,1,1,5,0,20.0
a51570,20240313_155129_628846,1,1,1,1,1,5,0,20.0
a51573,,,,,
a51576,,,,,
a51579,20240313_135642_030906,1,1,1,1,1,5,0,20.0
a51581,20240313_135027_200547,1,1,1,1,1,5,0,20.0
a51586,20240313_135513_990859,1,1,0,1,1,4,1,12.0
a51587,20240315_124307_368659,1,1,1,1,1,5,0,20.0
a51589,,,,,
a51597,20240314_121047_977289,1,1,1,1,1,5,0,20.0
a51598,20240315_123819_202624,1,1,1,1,1,5,0,20.0
a51606,20240315_122125_495268,1,1,1,1,1,5,0,20.0
a51609,20240315_122615_661405,1,1,1,1,1,5,0,20.0
a51625,20240314_115953_168920,1,1,1,1,1,5,0,20.0
