Id,Entrega,Respostas,,,,,Certas,Erradas,Nota
a42156,,,,,
a45741,20240422_193451_229835,1,1,1,1,1,5,0,20.0
a48045,,,,,
a48155,,,,,
a48570,,,,,
a48575,20240502_114623_500206,0,1,1,1,1,4,1,12.0
a48581,,,,,
a48601,20240502_121517_006703,1,1,1,1,1,5,0,20.0
a48606,20240424_130111_290882,1,1,1,1,1,5,0,20.0
a48630,20240424_135617_962565,1,1,1,1,1,5,0,20.0
a48636,20240424_130749_188160,1,1,1,1,1,5,0,20.0
a48918,,,,,
a49152,,,,,
a49719,20240503_134437_214748,1,1,1,1,1,5,0,20.0
a49721,,,,,
a49724,20240422_194544_890983,1,1,1,1,1,5,0,20.0
a49730,20240424_131845_619180,1,1,1,1,1,5,0,20.0
a49734,,,,,
a49763,,,,,
a49773,20240424_132750_189289,1,1,1,1,1,5,0,20.0
a49774,20240424_135420_407093,1,1,1,1,1,5,0,20.0
a50029,,,,,
a50732,20240502_121819_896117,1,1,1,1,1,5,0,20.0
a50741,,,,,
a50785,20240502_120003_367016,1,1,1,0,1,4,1,12.0
a50791,20240424_131702_425667,1,1,1,1,1,5,0,20.0
a50797,20240502_124315_574060,1,1,1,1,1,5,0,20.0
a50804,20240424_174247_749601,1,1,1,1,1,5,0,20.0
a50825,20240424_134426_355633,1,1,1,1,1,5,0,20.0
a50829,20240502_103145_182319,1,0,1,1,0,3,2,4.0
a50860,20240424_130505_184877,1,1,1,1,1,5,0,20.0
a50950,,,,,
a50980,20240424_170615_975352,1,1,1,1,1,5,0,20.0
a50988,20240424_133735_531761,1,1,1,1,1,5,0,20.0
a51035,,,,,
a51246,,,,,
a51247,20240424_135304_791226,1,1,1,1,1,5,0,20.0
a51300,20240422_195123_066849,1,1,1,1,1,5,0,20.0
a51319,20240424_130514_903183,1,1,1,1,1,5,0,20.0
a51322,,,,,
a51324,20240422_194853_162641,1,1,1,1,1,5,0,20.0
a51344,,,,,
a51388,20240503_120449_607732,1,1,1,1,1,5,0,20.0
a51392,20240503_122733_672178,1,1,1,1,1,5,0,20.0
a51394,20240503_122526_329948,1,1,1,1,1,5,0,20.0
a51401,20240503_123600_856077,1,1,1,1,1,5,0,20.0
a51411,20240502_123514_739773,1,1,1,1,1,5,0,20.0
a51413,,,,,
a51421,,,,,
a51435,20240503_123938_704319,1,1,1,1,1,5,0,20.0
a51436,,,,,
a51446,20240503_122605_530179,1,1,1,1,1,5,0,20.0
a51452,20240424_134822_740320,1,1,1,1,1,5,0,20.0
a51472,20240503_171612_648559,0,1,0,1,1,3,2,4.0
a51504,20240424_214254_956812,1,1,1,1,1,5,0,20.0
a51522,,,,,
a51533,,,,,
a51540,20240503_115328_306197,1,1,1,1,1,5,0,20.0
a51547,20240422_190445_202907,1,1,1,1,1,5,0,20.0
a51560,20240503_122046_579542,1,1,1,1,1,5,0,20.0
a51564,20240503_122236_810106,1,1,1,1,1,5,0,20.0
a51568,20240503_122511_523172,1,1,1,1,1,5,0,20.0
a51570,20240424_135500_197125,1,1,1,1,1,5,0,20.0
a51573,,,,,
a51576,20240503_123232_836392,1,1,1,1,1,5,0,20.0
a51579,,,,,
a51581,,,,,
a51586,20240424_135848_275209,1,1,1,1,1,5,0,20.0
a51587,20240503_210738_590023,1,1,1,1,1,5,0,20.0
a51589,20240503_120739_304077,1,1,1,1,1,5,0,20.0
a51597,20240502_123914_076506,1,1,1,1,1,5,0,20.0
a51598,20240503_123030_461054,1,1,1,1,1,5,0,20.0
a51606,20240503_122338_142270,1,1,1,1,1,5,0,20.0
a51609,20240503_115650_198590,1,1,1,1,1,5,0,20.0
a51625,20240502_114704_848006,1,1,1,1,1,5,0,20.0
a51628,,,,,
a51631,,,,,
a51635,20240424_132511_298159,1,1,1,1,1,5,0,20.0
a51666,20240502_120201_946167,1,1,1,1,1,5,0,20.0
a51687,20240502_121004_270531,1,1,1,1,1,5,0,20.0
