Id,Entrega,Respostas,,,,,Certas,Erradas,Nota
a51692,20240424_134326_424790,1,0,0,1,0,2,3,0.0
a51694,20240503_121825_386246,1,1,1,1,1,5,0,20.0
a51696,20240503_121405_325605,1,1,1,1,1,5,0,20.0
a51706,20240503_122334_435253,1,1,1,1,1,5,0,20.0
a51707,,,,,
a51710,20240502_124142_054583,1,1,1,1,1,5,0,20.0
a51719,20240503_125744_469929,1,1,1,1,1,5,0,20.0
a51728,20240503_115343_667379,1,1,1,1,1,5,0,20.0
a51736,20240503_123533_461155,1,1,1,1,1,5,0,20.0
a51742,20240503_121435_686859,1,1,1,1,1,5,0,20.0
a51743,20240503_115444_061105,1,1,1,1,1,5,0,20.0
a51783,20240503_123232_980515,1,1,1,1,1,5,0,20.0
a51788,20240503_130435_090231,1,1,1,1,1,5,0,20.0
a51789,20240503_130318_399124,1,1,1,1,1,5,0,20.0
a51793,20240503_120250_087006,1,1,1,1,1,5,0,20.0
a51794,20240503_123822_002092,1,1,1,1,1,5,0,20.0
a51800,20240502_120355_501761,1,1,1,1,1,5,0,20.0
a51809,20240502_163959_601714,1,1,1,1,1,5,0,20.0
a51811,20240503_120913_844979,1,1,1,1,1,5,0,20.0
a51812,20240503_120643_841555,1,0,0,1,1,3,2,4.0
a51813,,,,,
a51827,20240503_120045_357108,1,1,1,1,1,5,0,20.0
a51829,,,,,
a51864,20240503_120101_477444,1,1,1,1,1,5,0,20.0
a51878,20240503_121940_526011,1,1,1,1,1,5,0,20.0
a51879,,,,,
a51888,20240502_124428_528466,1,1,1,1,1,5,0,20.0
a51945,20240424_132759_809438,1,1,1,1,1,5,0,20.0
a51959,20240424_132633_323502,1,1,1,1,1,5,0,20.0
a51987,20240502_120939_008942,1,1,1,1,1,5,0,20.0
a51998,20240424_135354_123411,1,1,1,1,1,5,0,20.0
a51999,20240502_115452_623004,1,1,1,1,1,5,0,20.0
a52046,,,,,
a52057,20240503_123218_024338,1,1,1,1,1,5,0,20.0
cleandro,,,,,

N. alunos,Entregas,% entregas,Média
115,82,71.304,18.976
