Id,Entrega,Respostas,,,,,Certas,Erradas,Nota
a42156,,,,,
a45741,20240325_193033_511119,1,1,1,1,1,5,0,20.0
a48045,20240325_194041_878088,1,1,1,1,1,5,0,20.0
a48155,20240403_134220_300545,1,1,1,1,1,5,0,20.0
a48570,,,,,
a48575,20240404_121018_098857,1,1,1,1,1,5,0,20.0
a48581,,,,,
a48601,20240404_115821_726932,1,1,1,1,1,5,0,20.0
a48606,20240403_131134_296284,1,1,1,1,1,5,0,20.0
a48630,20240403_135657_672882,1,1,1,1,0,4,1,12.0
a48636,20240403_134222_443525,1,1,1,1,1,5,0,20.0
a48918,,,,,
a49152,,,,,
a49719,20240405_114524_932134,1,1,1,1,1,5,0,20.0
a49721,,,,,
a49724,20240325_193423_915883,1,1,1,1,1,5,0,20.0
a49730,20240403_133815_610901,1,1,1,1,1,5,0,20.0
a49734,20240403_131710_057007,1,1,1,1,1,5,0,20.0
a49763,,,,,
a49773,20240403_132717_357789,1,1,1,1,1,5,0,20.0
a49774,20240403_132226_537497,1,1,1,1,1,5,0,20.0
a50029,20240404_120432_407964,1,1,1,1,1,5,0,20.0
a50732,20240404_120928_405399,1,1,1,1,1,5,0,20.0
a50741,,,,,
a50785,20240404_121035_683787,1,1,1,1,1,5,0,20.0
a50791,20240403_133256_520890,1,1,1,1,1,5,0,20.0
a50797,20240404_124256_121964,1,1,1,1,1,5,0,20.0
a50804,20240403_134915_164980,1,1,1,1,1,5,0,20.0
a50825,,,,,
a50829,20240404_122003_974131,1,1,0,1,1,4,1,12.0
a50860,20240403_131814_824097,1,1,1,1,1,5,0,20.0
a50950,20240403_135925_269913,0,0,1,1,0,2,3,0.0
a50980,20240403_133325_063840,1,1,1,1,1,5,0,20.0
a50988,,,,,
a51035,,,,,
a51246,,,,,
a51247,20240403_135236_131245,1,1,1,1,1,5,0,20.0
a51300,20240325_193318_309180,1,1,1,1,1,5,0,20.0
a51319,20240403_134500_295041,1,1,1,1,1,5,0,20.0
a51322,20240325_194257_742664,1,1,1,1,1,5,0,20.0
a51324,20240325_193743_449843,1,1,1,1,1,5,0,20.0
