Id,Entrega,Respostas,,,,,Certas,Erradas,Nota
a42156,,,,,
a45741,20240408_192050_524544,1,1,1,1,1,5,0,20.0
a48045,20240408_193536_267332,1,1,1,1,1,5,0,20.0
a48155,20240410_133530_766356,1,1,1,1,1,5,0,20.0
a48570,,,,,
a48575,20240411_120248_866008,1,1,1,1,1,5,0,20.0
a48581,,,,,
a48601,,,,,
a48606,20240410_132958_176790,1,1,1,1,1,5,0,20.0
a48630,,,,,
a48636,20240410_133644_308931,1,1,1,1,1,5,0,20.0
a48918,,,,,
a49152,,,,,
a49719,20240412_120841_102195,1,1,1,1,1,5,0,20.0
a49721,,,,,
a49724,,,,,
a49730,20240410_134437_768079,1,1,1,1,1,5,0,20.0
a49734,20240410_132748_671409,1,1,1,1,1,5,0,20.0
a49763,20240410_134547_258586,1,1,1,1,1,5,0,20.0
a49773,20240410_133225_149399,1,1,1,1,1,5,0,20.0
a49774,20240410_133233_247780,1,1,1,1,1,5,0,20.0
a50029,20240411_120201_631769,1,1,1,1,1,5,0,20.0
a50732,20240411_120746_430497,1,1,1,1,1,5,0,20.0
a50741,,,,,
a50785,20240411_120237_692295,1,1,1,1,1,5,0,20.0
a50791,20240410_134235_953141,1,1,1,1,1,5,0,20.0
a50797,20240411_124100_939155,1,1,1,1,1,5,0,20.0
a50804,20240410_134934_966751,1,1,1,1,1,5,0,20.0
a50825,20240410_134313_894825,1,1,1,1,1,5,0,20.0
a50829,20240411_115556_317229,1,1,1,1,1,5,0,20.0
a50860,20240410_133018_292152,1,1,1,1,1,5,0,20.0
a50950,,,,,
a50980,20240410_134725_540146,1,1,1,1,1,5,0,20.0
a50988,20240410_135221_464401,1,1,1,1,1,5,0,20.0
a51035,,,,,
a51246,,,,,
a51247,20240410_134611_382069,1,1,1,1,1,5,0,20.0
a51300,,,,,
a51319,20240410_133455_538419,1,1,1,1,1,5,0,20.0
a51322,20240408_195649_773641,1,1,1,1,1,5,0,20.0
a51324,20240408_194024_529074,0,0,1,0,1,2,3,0.0
a51344,20240410_140117_875825,1,1,1,1,1,5,0,20.0
a51388,20240412_121410_391144,1,1,1,1,1,5,0,20.0
a51392,20240412_121518_177779,1,1,1,1,1,5,0,20.0
a51394,20240412_121804_587566,1,1,1,1,1,5,0,20.0
a51401,20240412_121813_330271,1,1,1,1,1,5,0,20.0
a51411,20240411_115703_741080,1,1,1,1,1,5,0,20.0
a51413,,,,,
a51421,20240410_134951_845624,1,1,1,1,1,5,0,20.0
a51435,20240412_122526_221392,1,1,1,1,1,5,0,20.0
a51436,,,,,
a51446,20240412_120350_244318,1,1,1,1,1,5,0,20.0
a51452,20240410_140715_375963,1,1,1,1,1,5,0,20.0
a51472,20240412_123022_875099,1,1,1,1,1,5,0,20.0
a51504,20240410_135545_567265,1,1,1,1,1,5,0,20.0
