Id,Entrega,Respostas,,,,,Certas,Erradas,Nota
a42156,,,,,
a45741,20240318_192132_211982,1,1,1,1,1,5,0,20.0
a48045,20240319_225037_440553,1,1,1,1,1,5,0,20.0
a48155,20240320_133009_290345,1,1,1,1,1,5,0,20.0
a48570,,,,,
a48575,20240321_122350_749927,1,1,1,1,1,5,0,20.0
a48581,,,,,
a48601,20240321_124241_671152,1,1,1,1,1,5,0,20.0
a48606,20240320_131125_609223,1,1,1,1,1,5,0,20.0
a48630,20240320_131738_180125,1,1,1,1,1,5,0,20.0
a48636,20240320_133046_036455,1,1,1,1,1,5,0,20.0
a48918,,,,,
a49152,,,,,
a49719,20240322_121821_013414,1,1,1,1,1,5,0,20.0
a49721,,,,,
a49724,,,,,
a49730,20240320_133322_035432,1,1,1,1,1,5,0,20.0
a49734,20240320_130919_139034,1,1,1,1,1,5,0,20.0
a49763,20240320_134215_703795,1,1,1,1,1,5,0,20.0
a49773,20240320_132933_350902,1,1,1,1,1,5,0,20.0
a49774,,,,,
a50029,20240321_122405_929551,1,1,1,1,1,5,0,20.0
a50732,20240321_123522_100724,1,1,1,1,1,5,0,20.0
a50741,,,,,
a50785,20240321_122325_509145,1,1,1,1,1,5,0,20.0
a50791,20240320_133226_350734,1,1,1,1,,4,0,16.0
a50797,20240321_123652_228871,1,1,1,1,1,5,0,20.0
a50804,20240320_135100_792626,1,1,1,1,1,5,0,20.0
a50825,20240320_133231_111901,1,1,1,1,1,5,0,20.0
a50829,20240321_121638_926724,1,1,1,1,1,5,0,20.0
a50860,20240320_131959_915656,1,1,1,1,1,5,0,20.0
a50950,,,,,
a50980,20240320_135116_757030,1,1,1,1,1,5,0,20.0
a50988,20240320_132839_543859,1,1,1,1,1,5,0,20.0
a51035,,,,,
a51246,20240321_124008_413802,1,1,1,1,1,5,0,20.0
a51247,20240320_132138_513662,1,1,1,1,1,5,0,20.0
a51300,20240318_195634_189355,1,1,1,1,1,5,0,20.0
a51319,20240320_133149_585789,1,1,1,1,1,5,0,20.0
a51322,20240318_195642_050014,1,1,1,1,1,5,0,20.0
a51324,20240318_194713_008064,1,1,0,1,0,3,2,4.0
a51344,20240320_135152_408670,1,1,1,1,1,5,0,20.0
a51388,20240322_124113_216715,1,1,0,0,1,3,2,4.0
a51392,20240322_123115_168826,1,1,1,1,1,5,0,20.0
a51394,20240322_123418_073108,1,1,1,1,1,5,0,20.0
a51401,20240322_123351_230547,1,1,1,1,1,5,0,20.0
a51411,20240321_123427_050590,1,1,1,1,1,5,0,20.0
a51413,,,,,
a51421,20240320_135102_764406,1,1,1,1,1,5,0,20.0
a51435,20240322_124224_509611,1,1,1,1,1,5,0,20.0
a51436,20240320_133557_091077,1,1,1,1,1,5,0,20.0
a51446,20240322_122724_679501,1,1,1,1,1,5,0,20.0
a51452,20240320_134343_861867,1,1,1,1,1,5,0,20.0
a51472,20240322_122114_674808,0,0,0,0,0,0,5,0.0
a51504,20240320_134930_663832,1,1,1,1,1,5,0,20.0
a51522,20240322_162512_055803,1,1,1,1,1,5,0,20.0
a51533,20240322_121911_479549,1,1,1,1,1,5,0,20.0
a51540,20240322_122956_773358,0,1,1,0,1,3,2,4.0
a51547,20240318_192453_827275,1,1,1,1,1,5,0,20.0
a51560,20240322_124210_603183,1,1,1,1,1,5,0,20.0
a51564,20240322_123118_012140,1,1,1,1,1,5,0,20.0
a51568,20240322_122543_257434,1,1,1,1,1,5,0,20.0
a51570,20240320_133320_669943,1,1,1,1,1,5,0,20.0
a51573,,,,,
a51576,20240322_123037_384374,0,0,1,1,0,2,3,0.0
a51579,20240320_172333_970441,1,1,1,1,1,5,0,20.0
a51581,20240320_164101_567703,1,1,1,1,1,5,0,20.0
a51586,20240320_133038_271046,1,1,1,1,1,5,0,20.0
a51587,20240322_123517_998691,1,0,0,1,0,2,3,0.0
a51589,20240322_122432_850510,1,1,1,1,1,5,0,20.0
a51597,20240321_122126_040955,1,1,1,1,1,5,0,20.0
a51598,20240322_123457_188013,1,1,1,1,1,5,0,20.0
a51606,20240322_122543_977546,1,1,1,1,1,5,0,20.0
a51609,20240322_122626_828049,1,1,1,1,1,5,0,20.0
a51625,20240321_120051_051738,1,1,1,1,1,5,0,20.0
a51628,20240320_133130_109646,1,1,1,1,1,5,0,20.0
a51631,,,,,
a51635,,,,,
a51666,20240321_122832_611369,1,1,1,1,1,5,0,20.0
a51687,20240321_123233_143595,1,1,1,1,1,5,0,20.0
a51692,20240320_131822_762982,1,1,1,1,1,5,0,20.0
a51694,20240322_123125_635060,1,1,1,1,1,5,0,20.0
a51696,20240322_121952_669116,1,1,1,1,1,5,0,20.0
a51706,20240322_123118_990901,1,1,1,1,1,5,0,20.0
a51707,20240320_140455_155851,1,1,1,1,1,5,0,20.0
a51710,20240321_124232_099399,1,1,1,1,1,5,0,20.0
a51719,20240322_123843_814260,1,1,1,1,1,5,0,20.0
a51728,20240322_120159_257609,1,1,1,1,1,5,0,20.0
a51736,20240322_123425_244613,1,1,1,1,1,5,0,20.0
a51742,20240322_122319_902835,1,1,1,1,1,5,0,20.0
a51743,20240322_122242_607353,1,1,1,1,1,5,0,20.0
a51783,20240322_123147_107837,1,1,1,1,1,5,0,20.0
a51788,20240322_123825_316936,1,1,1,1,1,5,0,20.0
a51789,,,,,
a51793,20240322_122050_110815,1,1,1,1,1,5,0,20.0
a51794,20240322_122714_695069,1,1,1,1,1,5,0,20.0
a51800,20240321_123144_058494,1,1,1,1,1,5,0,20.0
a51809,20240321_161522_644299,1,1,1,1,1,5,0,20.0
a51811,20240322_123153_393357,1,1,1,1,1,5,0,20.0
a51812,20240322_122051_138655,1,1,1,1,1,5,0,20.0
a51813,,,,,
a51827,20240322_122841_612948,1,1,1,1,1,5,0,20.0
a51829,20240321_123548_184561,1,1,1,1,1,5,0,20.0
a51864,20240322_122501_146564,1,1,1,1,1,5,0,20.0
a51878,20240322_120531_940418,1,1,1,1,1,5,0,20.0
a51879,,,,,
a51888,20240321_124759_508920,1,1,1,1,1,5,0,20.0
a51945,20240320_133552_533269,1,1,1,1,1,5,0,20.0
a51959,20240320_133118_639584,1,1,1,1,1,5,0,20.0
a51987,20240321_123259_384853,1,1,1,1,1,5,0,20.0
a51998,20240320_134252_579421,1,1,1,0,0,3,2,4.0
a51999,20240321_121749_497219,1,1,1,1,1,5,0,20.0
a52046,,,,,
a52057,20240322_123713_253801,1,1,1,1,1,5,0,20.0
cleandro,,,,,

N. alunos,Entregas,% entregas,Média
115,95,82.609,18.653
